circuit,position,name,time
Qatar,NC,Nicholas Latifi,01:28.7
Qatar,NC,Valtteri Bottas,01:27.2
Saudi Arabia,1,Lewis Hamilton,01:30.7
Saudi Arabia,2,Max Verstappen,01:31.5
Saudi Arabia,3,Valtteri Bottas,01:31.4
Saudi Arabia,4,Esteban Ocon,01:31.8
Saudi Arabia,5,Daniel Ricciardo,01:32.7
Saudi Arabia,6,Pierre Gasly,01:32.3
Saudi Arabia,7,Charles Leclerc,01:31.6
Saudi Arabia,8,Carlos Sainz,01:31.9
Saudi Arabia,9,Antonio Giovinazzi,01:32.9
Saudi Arabia,10,Lando Norris,01:31.9
Saudi Arabia,11,Lance Stroll,01:32.8
Saudi Arabia,12,Nicholas Latifi,01:32.8
Saudi Arabia,13,Fernando Alonso,01:31.6
Saudi Arabia,14,Yuki Tsunoda,01:32.5
Saudi Arabia,15,Kimi Raikkönen,01:32.8
Saudi Arabia,NC,Sebastian Vettel,01:34.0
Saudi Arabia,NC,Sergio Perez,01:34.1
Saudi Arabia,NC,Nikita Mazepin,01:37.0
Saudi Arabia,NC,George Russell,01:36.1
Saudi Arabia,NC,Mick Schumacher,01:36.0
Abu Dhabi,1,Max Verstappen,01:26.1
Abu Dhabi,2,Lewis Hamilton,01:26.6
Abu Dhabi,3,Carlos Sainz,01:27.6
Abu Dhabi,4,Yuki Tsunoda,01:27.5
Abu Dhabi,5,Pierre Gasly,01:27.3
Abu Dhabi,6,Valtteri Bottas,01:26.9
Abu Dhabi,7,Lando Norris,01:26.8
Abu Dhabi,8,Fernando Alonso,01:27.6
Abu Dhabi,9,Esteban Ocon,01:28.2
Abu Dhabi,10,Charles Leclerc,01:28.4
Abu Dhabi,11,Sebastian Vettel,01:28.3
Abu Dhabi,12,Daniel Ricciardo,01:28.7
Abu Dhabi,13,Lance Stroll,01:28.6
Abu Dhabi,14,Mick Schumacher,01:29.5
Abu Dhabi,15,Sergio Perez,01:26.4
Abu Dhabi,NC,Nicholas Latifi,01:29.3
Abu Dhabi,NC,Antonio Giovinazzi,01:29.4
Abu Dhabi,NC,George Russell,01:30.6
Abu Dhabi,NC,Kimi Raikkönen,01:29.7
Abu Dhabi,NC,Nikita Mazepin,N/A
